year,id_,socfrend,satjob,satfin,mntlhlth,satself,afailure,slfrspct,ofworth,nogood,optimist,pessimst,notcount,moregood,owndoing,depndabl,hlth4,ballot
2004,571,4.0,1.0,2.0,0.0,2.0,3.0,3.0,2.0,3.0,1.0,3.0,4.0,2.0,2.0,1.0,2.0,Ballot a
2004,573,4.0,2.0,2.0,2.0,2.0,3.0,4.0,2.0,4.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,Ballot c
2004,574,5.0,1.0,3.0,10.0,2.0,4.0,4.0,2.0,4.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,Ballot b
2004,576,4.0,2.0,2.0,0.0,1.0,3.0,3.0,1.0,3.0,1.0,3.0,1.0,1.0,2.0,1.0,2.0,Ballot c
2004,578,5.0,3.0,2.0,0.0,2.0,3.0,2.0,2.0,3.0,1.0,3.0,3.0,2.0,2.0,3.0,2.0,Ballot a
2004,581,4.0,1.0,3.0,0.0,1.0,4.0,4.0,1.0,4.0,1.0,4.0,4.0,1.0,2.0,2.0,2.0,Ballot b
2004,584,3.0,1.0,3.0,2.0,2.0,4.0,4.0,2.0,4.0,2.0,4.0,3.0,3.0,2.0,2.0,2.0,Ballot a
2004,586,7.0,1.0,2.0,30.0,1.0,4.0,1.0,1.0,3.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,Ballot b
2004,591,2.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,Ballot a
2004,592,4.0,1.0,3.0,0.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,Ballot c
2004,594,2.0,1.0,1.0,0.0,1.0,4.0,4.0,1.0,4.0,1.0,4.0,4.0,1.0,2.0,1.0,2.0,Ballot a
2004,597,4.0,2.0,3.0,5.0,3.0,2.0,3.0,3.0,4.0,2.0,2.0,2.0,2.0,1.0,4.0,2.0,Ballot b
2004,601,2.0,1.0,3.0,2.0,1.0,4.0,4.0,1.0,4.0,1.0,3.0,3.0,1.0,2.0,2.0,2.0,Ballot a
2004,602,4.0,2.0,3.0,10.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,4.0,2.0,3.0,2.0,Ballot c
2004,605,3.0,1.0,3.0,0.0,2.0,3.0,2.0,1.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,Ballot b
2004,606,4.0,1.0,2.0,2.0,1.0,4.0,4.0,1.0,3.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,Ballot c
2004,607,4.0,1.0,1.0,5.0,1.0,4.0,4.0,1.0,4.0,2.0,4.0,4.0,1.0,2.0,1.0,2.0,Ballot c
2004,609,3.0,1.0,2.0,1.0,1.0,4.0,4.0,1.0,4.0,1.0,4.0,4.0,1.0,2.0,1.0,2.0,Ballot b
2004,612,3.0,2.0,1.0,2.0,2.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,Ballot b
2004,613,5.0,2.0,2.0,0.0,2.0,3.0,2.0,1.0,2.0,2.0,3.0,3.0,2.0,2.0,1.0,2.0,Ballot b
2004,614,5.0,2.0,1.0,0.0,2.0,4.0,2.0,4.0,4.0,2.0,3.0,4.0,1.0,2.0,1.0,2.0,Ballot a
2004,619,3.0,2.0,3.0,0.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,Ballot a
